,0
total load forecast,0.9909235529506325
total load actual_lag_1h,0.0027509625578354294
forecast solar day ahead,0.0008824778185765283
hour,0.0008123981394506431
total load actual_rolling_24h,0.0005484122965040944
total load actual_rolling_168h,0.0005262100532779387
temp_lag24,0.0005222148590411876
forecast wind onshore day ahead,0.0005212306516498848
total load actual_lag_24h,0.0004892185961027575
humidity_lag24,0.00044307660164772625
pressure_lag24,0.00042894394929679795
wind_speed_lag24,0.0003976744473933471
clouds_all_lag24,0.00036129026648027134
month,0.00020226823766133454
dayofweek,0.00016818085538600528
is_weekend,2.1887719063601735e-05
